# Historical KBO FA seed.
# Generated from the NamuWiki historical KBO FA page via namu.moe on 2026-05-14.
# This file intentionally follows the compact bundled-seed style: no save-scoped numeric OOTP ids, only stable player_key/team_code fields.
# player_key is an OOTP export key resolved from cbt_player_team_seasons_seed.csv using romanized player name plus team context and manual review for same-name rows.
# compensation_player_key uses the signing team context because compensation players come from the acquiring club.
# Rows whose FA player_key could not be resolved remain excluded and are listed in obj/reports/historical_fa_seed_unmapped.csv.
# team_code uses existing seed codes: LG, HH, SSG, SAM, NC, kt, LOT, KIA, DOO, KIW. Defunct Hyundai/Heroes-era rows are folded into KIW.
# movement: retained, transfer, overseas. case_label is KBO_FA_APPROVED for official historical FA contracts.
# compensation_type: none, player_plus_cash, cash_only, overseas, unknown.
# contract_years uses numeric tokens only; option years are comma-separated, for example 4,2.
# grade is PRE_GRADE_SYSTEM before 2021; 2021+ grades are A/B/C when listed in annual FA qualification tables, or NOT_GRADED for non-graded overseas-return cases.
season,fa_round,player_key,player_name,original_team_code,signing_team_code,movement,case_label,grade,contract_years,total_contract_value_krw_100m,option_value_krw_100m,compensation_type,compensation_player_key,compensation_player_name,requalification_fa_count,status,source_note
2019,1,noh---000kyu,Gyeong-eun Noh,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,11,4,none,NONE,NONE,1,active,retained_pitcher
2020,1,jeong-000woo,U-ram Jung,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,39,0,none,NONE,NONE,1,active,retained_pitcher
2020,1,song--000eun,Eun-beom Song,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,10,1,none,NONE,NONE,1,active,retained_pitcher
2020,1,chin--000min,Hae-su Jin,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",14,3,none,NONE,NONE,1,active,retained_pitcher
2020,1,yun---000gyu,Gyu-jin Yoon,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",5,1,none,NONE,NONE,1,active,retained_pitcher
2020,1,oh----002jae,Jae-yeong Oh,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,7,1,none,NONE,NONE,1,active,retained_pitcher
2020,1,ko----000hyo,Hyo-jun Ko,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,1.2,0.2,none,NONE,NONE,1,active,retained_pitcher
2021,1,wu----000gyu,Gyu-min Woo,SAM,SAM,retained,KBO_FA_APPROVED,B,"1,1",10,3,none,NONE,NONE,1,active,retained_pitcher
2021,1,kim---007san,Sang-su Kim,KIW,KIW,retained,KBO_FA_APPROVED,A,"2,1",15.5,1.5,none,NONE,NONE,1,active,retained_pitcher
2021,1,cha---000woo,U-chan Cha,LG,LG,retained,KBO_FA_APPROVED,B,2,20,14,none,NONE,NONE,1,active,retained_pitcher
2021,1,yu----000hui,Hui-gwan Yoo,DOO,DOO,retained,KBO_FA_APPROVED,A,1,10,7,none,NONE,NONE,1,active,retained_pitcher
2022,1,paek--000jeo,Jeong-hyeon Baek,SAM,SAM,retained,KBO_FA_APPROVED,B,4,38,4,none,NONE,NONE,1,active,retained_pitcher
2022,2,yang--000hye,Hyeon-jong Yang,KIA,KIA,retained,KBO_FA_APPROVED,NOT_GRADED,4,103,48,none,NONE,NONE,2,active,retained_pitcher
2023,1,jang--000hyo,Si-hwan Jang,HH,HH,retained,KBO_FA_APPROVED,C,3,9.3,1.5,none,NONE,NONE,1,active,retained_pitcher
2023,1,kim---015jin,Jin-seong Kim,LG,LG,retained,KBO_FA_APPROVED,C,2,7,0,none,NONE,NONE,1,active,retained_pitcher
2023,1,lee---001jae,Jae-hak Lee,NC,NC,retained,KBO_FA_APPROVED,B,"2,1",9,3.5,none,NONE,NONE,1,active,retained_pitcher
2023,1,jeong-000cha,Chan-heon Jung,KIW,KIW,retained,KBO_FA_APPROVED,B,2,8.6,2.6,none,NONE,NONE,1,active,retained_pitcher
2024,1,lim---007cha,Chan-gyu Lim,LG,LG,retained,KBO_FA_APPROVED,B,4,50,24,none,NONE,NONE,1,active,retained_pitcher
2024,1,jang--001min,Min-jae Jang,HH,HH,retained,KBO_FA_APPROVED,C,"2,1",8,2,none,NONE,NONE,1,active,retained_pitcher
2024,1,ham---000deo,Deok-ju Ham,LG,LG,retained,KBO_FA_APPROVED,B,4,38,18,none,NONE,NONE,1,active,retained_pitcher
2024,1,kim---008dae,Dae-u Kim,SAM,SAM,retained,KBO_FA_APPROVED,C,2,4,1,none,NONE,NONE,1,active,retained_pitcher
2024,1,oh----000seu,Seung-hwan Oh,SAM,SAM,retained,KBO_FA_APPROVED,C,2,22,0,none,NONE,NONE,1,active,retained_pitcher
2024,1,hong--000keo,Geon-hui Hong,DOO,DOO,retained,KBO_FA_APPROVED,A,"2,2",24.5,0.5,none,NONE,NONE,1,active,retained_pitcher
2024,1,joo---000kwa,Gwon Joo,kt,kt,retained,KBO_FA_APPROVED,A,"2,2",16,2,none,NONE,NONE,1,active,retained_pitcher
2025,2,wu----000gyu,Gyu-min Woo,kt,kt,retained,KBO_FA_APPROVED,C,2,7,1,none,NONE,NONE,2,active,retained_pitcher
2025,1,kim---005won,Won-jung Kim,LOT,LOT,retained,KBO_FA_APPROVED,A,4,54,10,none,NONE,NONE,1,active,retained_pitcher
2025,1,koo---000seu,Seung-min Koo,LOT,LOT,retained,KBO_FA_APPROVED,A,"2,2",21,6,none,NONE,NONE,1,active,retained_pitcher
2025,2,noh---000kyu,Gyeong-eun Noh,SSG,SSG,retained,KBO_FA_APPROVED,B,"2,1",25,9,none,NONE,NONE,2,active,retained_pitcher
2025,1,lim---001jeo,Jeong-ho Lim,NC,NC,retained,KBO_FA_APPROVED,C,3,12,3,none,NONE,NONE,1,active,retained_pitcher
2025,1,lim---000ki-,Gi-yeong Lim,KIA,KIA,retained,KBO_FA_APPROVED,B,3,15,3,none,NONE,NONE,1,active,retained_pitcher
2025,1,lee---000yon,Yong-chan Lee,NC,NC,retained,KBO_FA_APPROVED,B,"2,1",10,6,none,NONE,NONE,1,active,retained_pitcher
2026,1,lee---004joo,Jun-yeong Lee,KIA,KIA,retained,KBO_FA_APPROVED,B,3,12,3,none,NONE,NONE,1,active,retained_pitcher
2026,1,lee---000you,Yeong-ha Lee,DOO,DOO,retained,KBO_FA_APPROVED,B,4,52,6,none,NONE,NONE,1,active,retained_pitcher
2026,1,choi--002don,Won-jun Choi,DOO,DOO,retained,KBO_FA_APPROVED,A,4,38,4,none,NONE,NONE,1,active,retained_pitcher
2026,3,yang--000hye,Hyeon-jong Yang,KIA,KIA,retained,KBO_FA_APPROVED,C,"2,1",45,UNKNOWN,none,NONE,NONE,3,active,retained_pitcher
2026,1,kim---016don,Tae-hun Kim,SAM,SAM,retained,KBO_FA_APPROVED,A,"3,1",20,2,none,NONE,NONE,1,active,retained_pitcher
2026,1,lee---006seu,Seung-hyeon Lee,SAM,SAM,retained,KBO_FA_APPROVED,B,2,6,1,none,NONE,NONE,1,active,retained_pitcher
2026,1,cho---002san,Sang-u Cho,KIA,KIA,retained,KBO_FA_APPROVED,A,2,16,2,none,NONE,NONE,1,active,retained_pitcher
2001,1,kim---006gi-,Gi-tae Kim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,18,0,none,NONE,NONE,1,active,retained_fielder
2001,1,chang-000jon,Jong-hun Jang,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,7,5,none,NONE,NONE,1,active,retained_fielder
2001,1,kang--002seo,Seok-cheon Kang,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,5.1,3,none,NONE,NONE,1,active,retained_fielder
2002,1,jeon--000jun,Jun-ho Jeon,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,12,2,none,NONE,NONE,1,active,retained_fielder
2003,1,an----001kyu,Gyeong-hyeon Ahn,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,15,2,none,NONE,NONE,1,active,retained_fielder
2003,1,pak---005jeo,Jeong-tae Park,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,6,1,none,NONE,NONE,1,active,retained_fielder
2004,1,lee---003sun,Sung-yong Lee,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,17.5,0,none,NONE,NONE,1,active,retained_fielder
2004,1,kim---002jon,Jong-hun Kim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,5.2,9,none,NONE,NONE,1,active,retained_fielder
2004,1,yu----000ji-,Ji-hyeon Ryu,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,4.3,1,none,NONE,NONE,1,active,retained_fielder
2004,1,chang-001won,Won-jin Jang,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4.5,0,none,NONE,NONE,1,active,retained_fielder
2005,1,shin--000don,Dong-ju Shin,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,4.9,3,none,NONE,NONE,1,active,retained_fielder
2005,1,kim---000han,Han-su Kim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,28,5,none,NONE,NONE,1,active,retained_fielder
2005,1,shim--000jae,Jae-hak Sim,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,18,1,none,NONE,NONE,1,active,retained_fielder
2005,1,kim---008don,Dong-su Kim,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,6,0,none,NONE,NONE,1,active,retained_fielder
2005,1,cho---000won,Won-u Cho,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4.5,0,none,NONE,NONE,1,active,retained_fielder
2005,1,kim---004tae,Tae-gyun Kim,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,0.86,0,none,NONE,NONE,1,active,retained_fielder
2006,1,yang--000jun,Jun-hyeok Yang,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,15,1,none,NONE,NONE,1,active,retained_fielder
2006,1,kim---000dai,Dae-ik Kim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,3.2,3,none,NONE,NONE,1,active,retained_fielder
2006,1,jeon--000san,Sang-ryeol Jeon,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4,0,none,NONE,NONE,1,active,retained_fielder
2006,1,kim---000cha,Chang-hui Kim,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,1,0,none,NONE,NONE,1,active,retained_fielder
2006,1,hong--000won,Won-gi Hong,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,0.8,0,none,NONE,NONE,1,active,retained_fielder
2006,1,chung-000kyo,Gyeong-bae Jung,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,16,1,none,NONE,NONE,1,active,retained_fielder
2006,1,park--000jae,Jae-hong Park,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,2",30,2,none,NONE,NONE,1,active,retained_fielder
2006,2,jeon--000jun,Jun-ho Jeon,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,2.8,0,none,NONE,NONE,2,active,retained_fielder
2006,1,song--000ji-,Ji-man Song,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,18,2,none,NONE,NONE,1,active,retained_fielder
2006,1,jang--002sun,Seong-ho Jang,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,42,1,none,NONE,NONE,1,active,retained_fielder
2006,1,lee---003jon,Jong-beom Lee,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,18,1,none,NONE,NONE,1,active,retained_fielder
2007,1,jin---000kap,Gap-yong Jin,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,26,3,none,NONE,NONE,1,active,retained_fielder
2007,1,kim---004jae,Jae-geol Kim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,5.6,3,none,NONE,NONE,1,active,retained_fielder
2007,1,kim---000jon,Jong-guk Kim,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,5.5,5,none,NONE,NONE,1,active,retained_fielder
2007,1,park--000kyu,Gyeong-wan Park,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,10,1,none,NONE,NONE,1,active,retained_fielder
2008,1,lee---001ho-,Ho-jun Lee,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,34,1,none,NONE,NONE,1,active,retained_fielder
2008,1,kim---006don,Dong-ju Kim,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,9,2,none,NONE,NONE,1,active,retained_fielder
2008,1,cho---001in-,In-seong Cho,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",34,2,none,NONE,NONE,1,active,retained_fielder
2008,1,lee---003jae,Jae-ju Lee,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,0.8,0,none,NONE,NONE,1,active,retained_fielder
2009,1,kim---010jae,Jae-hyeon Kim,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,7,0,none,NONE,NONE,1,active,retained_fielder
2009,1,park--001jin,Jin-man Park,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,12,0,none,NONE,NONE,1,active,retained_fielder
2009,1,lee---005yeo,Yeong-u Lee,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,2.1,0,none,NONE,NONE,1,active,retained_fielder
2009,1,lee---007jon,Jong-yeol Lee,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,1.7,0,none,NONE,NONE,1,active,retained_fielder
2009,1,choi--001don,Dong-su Choi,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,2.5,0,none,NONE,NONE,1,active,retained_fielder
2010,1,kim---001san,Sang-hun Kim,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,2.25,0,none,NONE,NONE,1,active,retained_fielder
2010,2,jang--002sun,Seong-ho Jang,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,2.5,0,none,NONE,NONE,2,active,retained_fielder
2010,2,park--000jae,Jae-hong Park,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,8,0,none,NONE,NONE,2,active,retained_fielder
2010,1,choi--000ki-,Gi-mun Choi,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,1.5,0,none,NONE,NONE,1,active,retained_fielder
2010,1,park--000han,Han-i Park,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,6.5,0.5,none,NONE,NONE,1,active,retained_fielder
2010,1,kang--000don,Dong-u Kang,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,3,0,none,NONE,NONE,1,active,retained_fielder
2011,1,park--002yon,Yong-taek Park,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",34,3,none,NONE,NONE,1,active,retained_fielder
2012,1,shin--001gye,Gyeong-hyeon Shin,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,7,0,none,NONE,NONE,1,active,retained_fielder
2012,2,jin---000kap,Gap-yong Jin,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,12,0,none,NONE,NONE,2,active,retained_fielder
2012,1,kang--000bon,Bong-gyu Kang,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4.5,0,none,NONE,NONE,1,active,retained_fielder
2012,1,shin--000mye,Myeong-cheol Shin,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4.5,0,none,NONE,NONE,1,active,retained_fielder
2012,1,lee---002seu,Seung-yeop Lee,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,11,3,none,NONE,NONE,1,active,retained_fielder
2012,1,cho---000seo,Seong-hwan Cho,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,7.5,1,none,NONE,NONE,1,active,retained_fielder
2012,1,yim---000jae,Jae-cheol Lim,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,5,5,none,NONE,NONE,1,active,retained_fielder
2012,2,kim---006don,Dong-ju Kim,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,32,2,none,NONE,NONE,2,active,retained_fielder
2013,1,jeong-002seo,Seong-hun Jung,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,34,0,none,NONE,NONE,1,active,retained_fielder
2013,1,lee---000jin,Jin-yeong Lee,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,34,0,none,NONE,NONE,1,active,retained_fielder
2013,1,kim---002won,Won-seop Kim,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,14,0,none,NONE,NONE,1,active,retained_fielder
